iter	Passed	Remaining
0	4	240
1	9	237
2	14	229
3	19	225
4	24	223
5	29	216
6	34	211
7	39	206
8	44	204
9	50	201
10	56	199
11	62	198
12	68	193
13	73	189
14	79	184
15	83	178
16	88	172
17	93	166
18	98	160
19	103	154
20	107	148
21	112	143
22	117	138
23	123	134
24	129	129
25	134	123
26	140	119
27	145	114
28	149	108
29	154	103
30	159	97
31	164	92
32	169	87
33	173	81
34	178	76
35	183	71
36	188	66
37	192	60
38	197	55
39	201	50
40	206	45
41	211	40
42	216	35
43	220	30
44	225	25
45	229	19
46	235	15
47	241	10
48	246	5
49	252	0
